Entry,Entry Name,Gene Names,Protein names,Organism,Length,Function [CC],Involvement in disease,search_keyword
O02691,HCD2_BOVIN,HSD17B10 HADH2,3-hydroxyacyl-CoA dehydrogenase type-2 (EC 1.1.1.35) (17-beta-estradiol 17-dehydrogenase) (EC 1.1.1.62) (2-methyl-3-hydroxybutyryl-CoA dehydrogenase) (MHBD) (3-alpha-(17-beta)-hydroxysteroid dehydrogenase (NAD(+))) (EC 1.1.1.239) (3-hydroxy-2-methylbutyryl-CoA dehydrogenase) (EC 1.1.1.178) (3-hydroxyacyl-CoA dehydrogenase type II) (3alpha(or 20beta)-hydroxysteroid dehydrogenase) (EC 1.1.1.53) (7-alpha-hydroxysteroid dehydrogenase) (EC 1.1.1.159) (Endoplasmic reticulum-associated amyloid beta-peptide-binding protein) (Mitochondrial ribonuclease P protein 2) (Mitochondrial RNase P protein 2) (Short chain dehydrogenase/reductase family 5C member 1) (Short-chain type dehydrogenase/reductase XH98G2) (Type II HADH),Bos taurus (Bovine),261,"FUNCTION: Mitochondrial dehydrogenase involved in pathways of fatty acid, branched-chain amino acid and steroid metabolism. Acts as (S)-3-hydroxyacyl-CoA dehydrogenase in mitochondrial fatty acid beta-oxidation, a major degradation pathway of fatty acids. Catalyzes the third step in the beta-oxidation cycle, namely the reversible conversion of (S)-3-hydroxyacyl-CoA to 3-ketoacyl-CoA. Preferentially accepts straight medium- and short-chain acyl-CoA substrates with highest efficiency for (3S)-hydroxybutanoyl-CoA. Acts as 3-hydroxy-2-methylbutyryl-CoA dehydrogenase in branched-chain amino acid catabolic pathway. Catalyzes the oxidation of 3-hydroxy-2-methylbutanoyl-CoA into 2-methyl-3-oxobutanoyl-CoA, a step in isoleucine degradation pathway. Has hydroxysteroid dehydrogenase activity toward steroid hormones and bile acids. Catalyzes the oxidation of 3alpha-, 17beta-, 20beta- and 21-hydroxysteroids and 7alpha- and 7beta-hydroxy bile acids. Oxidizes allopregnanolone/brexanolone at the 3alpha-hydroxyl group, which is known to be critical for the activation of gamma-aminobutyric acid receptors (GABAARs) chloride channel. Has phospholipase C-like activity toward cardiolipin and its oxidized species. Likely oxidizes the 2'-hydroxyl in the head group of cardiolipin to form a ketone intermediate that undergoes nucleophilic attack by water and fragments into diacylglycerol, dihydroxyacetone and orthophosphate. Has higher affinity for cardiolipin with oxidized fatty acids and may degrade these species during the oxidative stress response to protect cells from apoptosis. By interacting with intracellular amyloid-beta, it may contribute to the neuronal dysfunction associated with Alzheimer disease (AD). Essential for structural and functional integrity of mitochondria. {ECO:0000250|UniProtKB:Q99714}.; FUNCTION: In addition to mitochondrial dehydrogenase activity, moonlights as a component of mitochondrial ribonuclease P, a complex that cleaves tRNA molecules in their 5'-ends. Together with TRMT10C/MRPP1, forms a subcomplex of the mitochondrial ribonuclease P, named MRPP1-MRPP2 subcomplex, which displays functions that are independent of the ribonuclease P activity. The MRPP1-MRPP2 subcomplex catalyzes the formation of N(1)-methylguanine and N(1)-methyladenine at position 9 (m1G9 and m1A9, respectively) in tRNAs; HSD17B10/MRPP2 acting as a non-catalytic subunit. The MRPP1-MRPP2 subcomplex also acts as a tRNA maturation platform: following 5'-end cleavage by the mitochondrial ribonuclease P complex, the MRPP1-MRPP2 subcomplex enhances the efficiency of 3'-processing catalyzed by ELAC2, retains the tRNA product after ELAC2 processing and presents the nascent tRNA to the mitochondrial CCA tRNA nucleotidyltransferase TRNT1 enzyme. Associates with mitochondrial DNA complexes at the nucleoids to initiate RNA processing and ribosome assembly. {ECO:0000250|UniProtKB:Q99714}.",,Alzheimer
O02768,PGH2_RABIT,PTGS2 COX-2 COX2,Prostaglandin G/H synthase 2 (EC 1.14.99.1) (Cyclooxygenase-2) (COX-2) (PHS II) (Prostaglandin H2 synthase 2) (PGH synthase 2) (PGHS-2) (Prostaglandin-endoperoxide synthase 2),Oryctolagus cuniculus (Rabbit),604,"FUNCTION: Dual cyclooxygenase and peroxidase in the biosynthesis pathway of prostanoids, a class of C20 oxylipins mainly derived from arachidonate ((5Z,8Z,11Z,14Z)-eicosatetraenoate, AA, C20:4(n-6)), with a particular role in the inflammatory response. The cyclooxygenase activity oxygenates AA to the hydroperoxy endoperoxide prostaglandin G2 (PGG2), and the peroxidase activity reduces PGG2 to the hydroxy endoperoxide prostaglandin H2 (PGH2), the precursor of all 2-series prostaglandins and thromboxanes. This complex transformation is initiated by abstraction of hydrogen at carbon 13 (with S-stereochemistry), followed by insertion of molecular O2 to form the endoperoxide bridge between carbon 9 and 11 that defines prostaglandins. The insertion of a second molecule of O2 (bis-oxygenase activity) yields a hydroperoxy group in PGG2 that is then reduced to PGH2 by two electrons. Similarly catalyzes successive cyclooxygenation and peroxidation of dihomo-gamma-linoleate (DGLA, C20:3(n-6)) and eicosapentaenoate (EPA, C20:5(n-3)) to corresponding PGH1 and PGH3, the precursors of 1- and 3-series prostaglandins. In an alternative pathway of prostanoid biosynthesis, converts 2-arachidonoyl lysophopholipids to prostanoid lysophopholipids, which are then hydrolyzed by intracellular phospholipases to release free prostanoids. Metabolizes 2-arachidonoyl glycerol yielding the glyceryl ester of PGH2, a process that can contribute to pain response. Generates lipid mediators from n-3 and n-6 polyunsaturated fatty acids (PUFAs) via a lipoxygenase-type mechanism. Oxygenates PUFAs to hydroperoxy compounds and then reduces them to corresponding alcohols. Plays a role in the generation of resolution phase interaction products (resolvins) during both sterile and infectious inflammation. Metabolizes docosahexaenoate (DHA, C22:6(n-3)) to 17R-HDHA, a precursor of the D-series resolvins (RvDs). As a component of the biosynthetic pathway of E-series resolvins (RvEs), converts eicosapentaenoate (EPA, C20:5(n-3)) primarily to 18S-HEPE that is further metabolized by ALOX5 and LTA4H to generate 18S-RvE1 and 18S-RvE2. In vascular endothelial cells, converts docosapentaenoate (DPA, C22:5(n-3)) to 13R-HDPA, a precursor for 13-series resolvins (RvTs) shown to activate macrophage phagocytosis during bacterial infection. In activated leukocytes, contributes to oxygenation of hydroxyeicosatetraenoates (HETE) to diHETES (5,15-diHETE and 5,11-diHETE). Can also use linoleate (LA, (9Z,12Z)-octadecadienoate, C18:2(n-6)) as substrate and produce hydroxyoctadecadienoates (HODEs) in a regio- and stereospecific manner,being (9R)-HODE ((9R)-hydroxy-(10E,12Z)-octadecadienoate) and (13S)-HODE ((13S)-hydroxy-(9Z,11E)-octadecadienoate) its major products (By similarity). During neuroinflammation, plays a role in neuronal secretion of specialized preresolving mediators (SPMs) 15R-lipoxin A4 that regulates phagocytic microglia (By similarity). {ECO:0000250|UniProtKB:P35354, ECO:0000250|UniProtKB:P79208, ECO:0000250|UniProtKB:Q05769}.",,Alzheimer
O02828,TAU_CAPHI,MAPT TAU,Microtubule-associated protein tau (Neurofibrillary tangle protein) (Paired helical filament-tau) (PHF-tau),Capra hircus (Goat),403,"FUNCTION: Promotes microtubule assembly and stability, and might be involved in the establishment and maintenance of neuronal polarity. The C-terminus binds axonal microtubules while the N-terminus binds neural plasma membrane components, suggesting that tau functions as a linker protein between both. Axonal polarity is predetermined by tau localization (in the neuronal cell) in the domain of the cell body defined by the centrosome. The short isoforms allow plasticity of the cytoskeleton whereas the longer isoforms may preferentially play a role in its stabilization.",,Alzheimer
O08747,UNC5C_MOUSE,Unc5c Rcm Unc5h3,Netrin receptor UNC5C (Protein unc-5 homolog 3) (Protein unc-5 homolog C) (Rostral cerebellar malformation protein),Mus musculus (Mouse),931,"FUNCTION: Receptor for netrin required for axon guidance (PubMed:10399920, PubMed:22685302). Mediates axon repulsion of neuronal growth cones in the developing nervous system upon ligand binding (PubMed:10399920, PubMed:22685302). NTN1/Netrin-1 binding might cause dissociation of UNC5C from polymerized TUBB3 in microtubules and thereby lead to increased microtubule dynamics and axon repulsion (PubMed:28483977). Axon repulsion in growth cones may also be caused by its association with DCC that may trigger signaling for repulsion (PubMed:10399920). Might also collaborate with DSCAM in NTN1-mediated axon repulsion independently of DCC (PubMed:22685302). Also involved in corticospinal tract axon guidance independently of DCC (PubMed:12451134, PubMed:9126743, PubMed:9389662). Involved in dorsal root ganglion axon projection towards the spinal cord (By similarity). It also acts as a dependence receptor required for apoptosis induction when not associated with netrin ligand (By similarity). {ECO:0000250|UniProtKB:O95185, ECO:0000250|UniProtKB:Q761X5, ECO:0000269|PubMed:10399920, ECO:0000269|PubMed:12451134, ECO:0000269|PubMed:22685302, ECO:0000269|PubMed:28483977, ECO:0000269|PubMed:9126743, ECO:0000269|PubMed:9389662}.","DISEASE: Note=Defects in Unc5c are the cause of rostral cerebellar malformation (Rcm). Rcm is characterized by cerebellar and midbrain defects, apparently as a result of abnormal neuronal migration. {ECO:0000269|PubMed:9126743}.",Alzheimer
O08756,HCD2_MOUSE,Hsd17b10 Erab Hadh2,3-hydroxyacyl-CoA dehydrogenase type-2 (EC 1.1.1.35) (17-beta-estradiol 17-dehydrogenase) (EC 1.1.1.62) (2-methyl-3-hydroxybutyryl-CoA dehydrogenase) (MHBD) (3-alpha-(17-beta)-hydroxysteroid dehydrogenase (NAD(+))) (EC 1.1.1.239) (3-hydroxy-2-methylbutyryl-CoA dehydrogenase) (EC 1.1.1.178) (3-hydroxyacyl-CoA dehydrogenase type II) (3alpha(or 20beta)-hydroxysteroid dehydrogenase) (EC 1.1.1.53) (7-alpha-hydroxysteroid dehydrogenase) (EC 1.1.1.159) (Endoplasmic reticulum-associated amyloid beta-peptide-binding protein) (Mitochondrial ribonuclease P protein 2) (Mitochondrial RNase P protein 2) (Short chain dehydrogenase/reductase family 5C member 1) (Short-chain type dehydrogenase/reductase XH98G2) (Type II HADH),Mus musculus (Mouse),261,"FUNCTION: Mitochondrial dehydrogenase involved in pathways of fatty acid, branched-chain amino acid and steroid metabolism (By similarity). Acts as (S)-3-hydroxyacyl-CoA dehydrogenase in mitochondrial fatty acid beta-oxidation, a major degradation pathway of fatty acids. Catalyzes the third step in the beta-oxidation cycle, namely the reversible conversion of (S)-3-hydroxyacyl-CoA to 3-ketoacyl-CoA. Preferentially accepts straight medium- and short-chain acyl-CoA substrates with highest efficiency for (3S)-hydroxybutanoyl-CoA (By similarity). Acts as 3-hydroxy-2-methylbutyryl-CoA dehydrogenase in branched-chain amino acid catabolic pathway. Catalyzes the oxidation of 3-hydroxy-2-methylbutanoyl-CoA into 2-methyl-3-oxobutanoyl-CoA, a step in isoleucine degradation pathway (By similarity). Has hydroxysteroid dehydrogenase activity toward steroid hormones and bile acids. Catalyzes the oxidation of 3alpha-, 17beta-, 20beta- and 21-hydroxysteroids and 7alpha- and 7beta-hydroxy bile acids. Oxidizes allopregnanolone/brexanolone at the 3alpha-hydroxyl group, which is known to be critical for the activation of gamma-aminobutyric acid receptors (GABAARs) chloride channel. Has phospholipase C-like activity toward cardiolipin and its oxidized species (By similarity). Likely oxidizes the 2'-hydroxyl in the head group of cardiolipin to form a ketone intermediate that undergoes nucleophilic attack by water and fragments into diacylglycerol, dihydroxyacetone and orthophosphate. Has higher affinity for cardiolipin with oxidized fatty acids and may degrade these species during the oxidative stress response to protect cells from apoptosis (By similarity). By interacting with intracellular amyloid-beta, it may contribute to the neuronal dysfunction associated with Alzheimer disease (AD) (By similarity). Essential for structural and functional integrity of mitochondria (PubMed:20077426). {ECO:0000250|UniProtKB:Q99714, ECO:0000269|PubMed:20077426}.; FUNCTION: In addition to mitochondrial dehydrogenase activity, moonlights as a component of mitochondrial ribonuclease P, a complex that cleaves tRNA molecules in their 5'-ends. Together with TRMT10C/MRPP1, forms a subcomplex of the mitochondrial ribonuclease P, named MRPP1-MRPP2 subcomplex, which displays functions that are independent of the ribonuclease P activity. The MRPP1-MRPP2 subcomplex catalyzes the formation of N(1)-methylguanine and N(1)-methyladenine at position 9 (m1G9 and m1A9, respectively) in tRNAs; HSD17B10/MRPP2 acting as a non-catalytic subunit. The MRPP1-MRPP2 subcomplex also acts as a tRNA maturation platform: following 5'-end cleavage by the mitochondrial ribonuclease P complex, the MRPP1-MRPP2 subcomplex enhances the efficiency of 3'-processing catalyzed by ELAC2, retains the tRNA product after ELAC2 processing and presents the nascent tRNA to the mitochondrial CCA tRNA nucleotidyltransferase TRNT1 enzyme. Associates with mitochondrial DNA complexes at the nucleoids to initiate RNA processing and ribosome assembly. {ECO:0000250|UniProtKB:Q99714}.",,Alzheimer
O08873,MADD_RAT,Madd,MAP kinase-activating death domain protein (Rab3 GDP/GTP exchange factor) (RabGEF) (Rab3 GDP/GTP exchange protein) (RabGEP),Rattus norvegicus (Rat),1602,"FUNCTION: Guanyl-nucleotide exchange factor that regulates small GTPases of the Rab family (PubMed:9020086). Converts GDP-bound inactive form of RAB27A and RAB27B to the GTP-bound active forms (By similarity). Converts GDP-bound inactive form of RAB3A, RAB3C and RAB3D to the GTP-bound active forms, GTPases involved in synaptic vesicle exocytosis and vesicle secretion (PubMed:9020086). Plays a role in synaptic vesicle formation and in vesicle trafficking at the neuromuscular junction (By similarity). Involved in up-regulating a post-docking step of synaptic exocytosis in central synapses (By similarity). Probably by binding to the motor proteins KIF1B and KIF1A, mediates motor-dependent transport of GTP-RAB3A-positive vesicles to the presynaptic nerve terminals (By similarity). Plays a role in TNFA-mediated activation of the MAPK pathway, including ERK1/2 (By similarity). May link TNFRSF1A with MAP kinase activation (By similarity). May be involved in the regulation of TNFA-induced apoptosis (By similarity). {ECO:0000250|UniProtKB:Q80U28, ECO:0000250|UniProtKB:Q8WXG6, ECO:0000269|PubMed:9020086}.",,Alzheimer
O09118,NET1_MOUSE,Ntn1,Netrin-1,Mus musculus (Mouse),604,"FUNCTION: Netrins control guidance of CNS commissural axons and peripheral motor axons. Its association with either DCC or some UNC5 receptors will lead to axon attraction or repulsion, respectively. Binding to UNC5C might cause dissociation of UNC5C from polymerized TUBB3 in microtubules and thereby lead to increased microtubule dynamics and axon repulsion (PubMed:28483977). Involved in dorsal root ganglion axon projection towards the spinal cord (PubMed:28483977). It also serves as a survival factor via its association with its receptors which prevent the initiation of apoptosis. Involved in colorectal tumorigenesis by regulating apoptosis (By similarity). {ECO:0000250|UniProtKB:O95631, ECO:0000269|PubMed:10381568, ECO:0000269|PubMed:28483977, ECO:0000269|PubMed:8978605}.",,Alzheimer
O14672,ADA10_HUMAN,ADAM10 KUZ MADM,Disintegrin and metalloproteinase domain-containing protein 10 (ADAM 10) (EC 3.4.24.81) (CDw156) (Kuzbanian protein homolog) (Mammalian disintegrin-metalloprotease) (CD antigen CD156c),Homo sapiens (Human),748,"FUNCTION: Transmembrane metalloprotease which mediates the ectodomain shedding of a myriad of transmembrane proteins, including adhesion proteins, growth factor precursors and cytokines being essential for development and tissue homeostasis (PubMed:11786905, PubMed:12475894, PubMed:20592283, PubMed:24990881, PubMed:26686862, PubMed:28600292, PubMed:31792032). Associates with six members of the tetraspanin superfamily TspanC8 which regulate its exit from the endoplasmic reticulum and its substrate selectivity (PubMed:26686862, PubMed:28600292, PubMed:31792032, PubMed:34739841, PubMed:37516108). Cleaves the membrane-bound precursor of TNF-alpha at '76-Ala-|-Val-77' to its mature soluble form. Responsible for the proteolytical release of soluble JAM3 from endothelial cells surface (PubMed:20592283). Responsible for the proteolytic release of several other cell-surface proteins, including heparin-binding epidermal growth-like factor, ephrin-A2, CD44, CDH2 and for constitutive and regulated alpha-secretase cleavage of amyloid precursor protein (APP) (PubMed:11786905, PubMed:26686862, PubMed:29224781, PubMed:34739841). Contributes to the normal cleavage of the cellular prion protein (PubMed:11477090). Involved in the cleavage of the adhesion molecule L1 at the cell surface and in released membrane vesicles, suggesting a vesicle-based protease activity (PubMed:12475894). Also controls the proteolytic processing of Notch and mediates lateral inhibition during neurogenesis (By similarity). Required for the development of type 1 transitional B cells into marginal zone B cells, probably by cleaving Notch (By similarity). Responsible for the FasL ectodomain shedding and for the generation of the remnant ADAM10-processed FasL (FasL APL) transmembrane form (PubMed:17557115). Also cleaves the ectodomain of the integral membrane proteins CORIN and ITM2B (PubMed:19114711, PubMed:21288900). Mediates the proteolytic cleavage of LAG3, leading to release the secreted form of LAG3 (By similarity). Mediates the proteolytic cleavage of IL6R and IL11RA, leading to the release of secreted forms of IL6R and IL11RA (PubMed:26876177). Enhances the cleavage of CHL1 by BACE1 (By similarity). Cleaves NRCAM (By similarity). Cleaves TREM2, resulting in shedding of the TREM2 ectodomain (PubMed:24990881). Involved in the development and maturation of glomerular and coronary vasculature (By similarity). During development of the cochlear organ of Corti, promotes pillar cell separation by forming a ternary complex with CADH1 and EPHA4 and cleaving CADH1 at adherens junctions (By similarity). May regulate the EFNA5-EPHA3 signaling (PubMed:16239146). Regulates leukocyte transmigration as a sheddase for the adherens junction protein VE-cadherin/CDH5 in endothelial cells (PubMed:28600292). {ECO:0000250|UniProtKB:O35598, ECO:0000269|PubMed:11477090, ECO:0000269|PubMed:11786905, ECO:0000269|PubMed:12475894, ECO:0000269|PubMed:16239146, ECO:0000269|PubMed:17557115, ECO:0000269|PubMed:19114711, ECO:0000269|PubMed:20592283, ECO:0000269|PubMed:21288900, ECO:0000269|PubMed:24990881, ECO:0000269|PubMed:26686862, ECO:0000269|PubMed:26876177, ECO:0000269|PubMed:28600292, ECO:0000269|PubMed:29224781, ECO:0000269|PubMed:31792032, ECO:0000269|PubMed:34739841, ECO:0000269|PubMed:37516108}.; FUNCTION: (Microbial infection) Promotes the cytotoxic activity of S.aureus hly by binding to the toxin at zonula adherens and promoting formation of toxin pores. {ECO:0000269|PubMed:20624979, ECO:0000269|PubMed:30463011}.","DISEASE: Reticulate acropigmentation of Kitamura (RAK) [MIM:615537]: A rare cutaneous pigmentation disorder characterized by reticulate, slightly depressed, sharply demarcated brown macules without hypopigmentation, affecting the dorsa of the hands and feet and appearing in the first or second decade of life. The macules gradually darken and extend to the proximal regions of the extremities. The manifestations tend to progress until middle age, after which progression of the eruptions stops. The pigmentary augmentation is found on the flexor aspects of the wrists, neck, patella and olecranon. Other features include breaks in the epidermal ridges on the palms and fingers, palmoplantar pits, occasionally plantar keratoderma, and partial alopecia. {ECO:0000269|PubMed:23666529}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Alzheimer disease 18 (AD18) [MIM:615590]: A late-onset form of Alzheimer disease. Alzheimer disease is a neurodegenerative disorder characterized by progressive dementia, loss of cognitive abilities, and deposition of fibrillar amyloid proteins as intraneuronal neurofibrillary tangles, extracellular amyloid plaques and vascular amyloid deposits. The major constituents of these plaques are neurotoxic amyloid-beta protein 40 and amyloid-beta protein 42, that are produced by the proteolysis of the transmembrane APP protein. The cytotoxic C-terminal fragments (CTFs) and the caspase-cleaved products, such as C31, are also implicated in neuronal death. {ECO:0000269|PubMed:19608551, ECO:0000269|PubMed:24055016}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.",Alzheimer
O15269,SPTC1_HUMAN,SPTLC1 LCB1,Serine palmitoyltransferase 1 (EC 2.3.1.50) (Long chain base biosynthesis protein 1) (LCB 1) (Serine-palmitoyl-CoA transferase 1) (SPT 1) (SPT1),Homo sapiens (Human),473,"FUNCTION: Component of the serine palmitoyltransferase multisubunit enzyme (SPT) that catalyzes the initial and rate-limiting step in sphingolipid biosynthesis by condensing L-serine and activated acyl-CoA (most commonly palmitoyl-CoA) to form long-chain bases. The SPT complex is also composed of SPTLC2 or SPTLC3 and SPTSSA or SPTSSB. Within this complex, the heterodimer with SPTLC2 or SPTLC3 forms the catalytic core (PubMed:19416851, PubMed:33558762, PubMed:36170811). The composition of the serine palmitoyltransferase (SPT) complex determines the substrate preference (PubMed:19416851, PubMed:33558762). The SPTLC1-SPTLC2-SPTSSA complex shows a strong preference for C16-CoA substrate, while the SPTLC1-SPTLC3-SPTSSA isozyme uses both C14-CoA and C16-CoA as substrates, with a slight preference for C14-CoA (PubMed:19416851, PubMed:19648650). The SPTLC1-SPTLC2-SPTSSB complex shows a strong preference for C18-CoA substrate, while the SPTLC1-SPTLC3-SPTSSB isozyme displays an ability to use a broader range of acyl-CoAs, without apparent preference (PubMed:19416851, PubMed:19648650, PubMed:33558761, PubMed:33558762). Required for adipocyte cell viability and metabolic homeostasis (By similarity). {ECO:0000250|UniProtKB:O35704, ECO:0000269|PubMed:19416851, ECO:0000269|PubMed:19648650, ECO:0000269|PubMed:33558761, ECO:0000269|PubMed:33558762, ECO:0000269|PubMed:36170811}.","DISEASE: Amyotrophic lateral sclerosis 27, juvenile (ALS27) [MIM:620285]: A form of amyotrophic lateral sclerosis, a neurodegenerative disorder affecting upper motor neurons in the brain and lower motor neurons in the brain stem and spinal cord, resulting in fatal paralysis. Sensory abnormalities are absent. The pathologic hallmarks of the disease include pallor of the corticospinal tract due to loss of motor neurons, presence of ubiquitin-positive inclusions within surviving motor neurons, and deposition of pathologic aggregates. The etiology of amyotrophic lateral sclerosis is likely to be multifactorial, involving both genetic and environmental factors. The disease is inherited in 5-10% of the cases. ALS27 is an autosomal dominant form manifesting as toe walking and gait abnormalities in early childhood. {ECO:0000269|PubMed:34059824, ECO:0000269|PubMed:34459874, ECO:0000269|PubMed:36204986, ECO:0000269|PubMed:37308477}. Note=The disease is caused by variants affecting the gene represented in this entry. Variants associated with ALS27 tend to disrupt the normal homeostatic regulation of serine palmitoyltransferase (SPT) by ORMDL proteins, resulting in up-regulated SPT activity and elevated levels of canonical SPT products. {ECO:0000269|PubMed:34059824}.; DISEASE: Neuropathy, hereditary sensory and autonomic, 1A (HSAN1A) [MIM:162400]: A form of hereditary sensory and autonomic neuropathy, a genetically and clinically heterogeneous group of disorders characterized by degeneration of dorsal root and autonomic ganglion cells, and by prominent sensory abnormalities with a variable degree of motor and autonomic dysfunction. The neurological phenotype is often complicated by severe infections, osteomyelitis, and amputations. HSAN1A is an autosomal dominant axonal form with onset in the second or third decades. Initial symptoms are loss of pain, touch, heat, and cold sensation over the feet, followed by distal muscle wasting and weakness. Loss of pain sensation leads to chronic skin ulcers and distal amputations. {ECO:0000269|PubMed:11242114, ECO:0000269|PubMed:19132419, ECO:0000269|PubMed:19651702, ECO:0000269|PubMed:20504773, ECO:0000269|PubMed:21618344, ECO:0000269|PubMed:22302274, ECO:0000269|PubMed:23454272, ECO:0000269|PubMed:24247255, ECO:0000269|PubMed:30420926}. Note=The disease is caused by variants affecting the gene represented in this entry. Variants associated with HSAN1A tend to increase serine palmitoyltransferase (SPT) usage of alanine or glycine rather than serine, resulting in deoxysphingolipid synthesis. Deoxysphingolipids cannot be efficiently degraded by the cell machinery and cause cell toxicity. {ECO:0000305|PubMed:34059824}.",Alzheimer
O15270,SPTC2_HUMAN,SPTLC2 KIAA0526 LCB2,Serine palmitoyltransferase 2 (EC 2.3.1.50) (Long chain base biosynthesis protein 2) (LCB 2) (Long chain base biosynthesis protein 2a) (LCB2a) (Serine-palmitoyl-CoA transferase 2) (SPT 2),Homo sapiens (Human),562,"FUNCTION: Component of the serine palmitoyltransferase multisubunit enzyme (SPT) that catalyzes the initial and rate-limiting step in sphingolipid biosynthesis by condensing L-serine and activated acyl-CoA (most commonly palmitoyl-CoA) to form long-chain bases (PubMed:19416851, PubMed:19648650, PubMed:20504773, PubMed:20920666). The SPT complex is composed of SPTLC1, SPTLC2 or SPTLC3 and SPTSSA or SPTSSB. Within this complex, the heterodimer consisting of SPTLC1 and SPTLC2/SPTLC3 forms the catalytic core (PubMed:19416851). The composition of the serine palmitoyltransferase (SPT) complex determines the substrate preference (PubMed:19416851). The SPTLC1-SPTLC2-SPTSSA complex shows a strong preference for C16-CoA substrate, while the SPTLC1-SPTLC3-SPTSSA isozyme uses both C14-CoA and C16-CoA as substrates, with a slight preference for C14-CoA (PubMed:19416851, PubMed:19648650). The SPTLC1-SPTLC2-SPTSSB complex shows a strong preference for C18-CoA substrate, while the SPTLC1-SPTLC3-SPTSSB isozyme displays an ability to use a broader range of acyl-CoAs, without apparent preference (PubMed:19416851, PubMed:19648650). Crucial for adipogenesis (By similarity). {ECO:0000250|UniProtKB:P97363, ECO:0000269|PubMed:19416851, ECO:0000269|PubMed:19648650, ECO:0000269|PubMed:20504773, ECO:0000269|PubMed:20920666}.","DISEASE: Neuropathy, hereditary sensory and autonomic, 1C (HSAN1C) [MIM:613640]: A form of hereditary sensory and autonomic neuropathy, a genetically and clinically heterogeneous group of disorders characterized by degeneration of dorsal root and autonomic ganglion cells, and by prominent sensory abnormalities with a variable degree of motor and autonomic dysfunction. The neurological phenotype is often complicated by severe infections, osteomyelitis, and amputations. HSAN1C symptoms include loss of touch and vibration in the feet, dysesthesia and severe panmodal sensory loss in the upper and lower limbs, distal lower limb sensory loss with ulceration and osteomyelitis, and distal muscle weakness. {ECO:0000269|PubMed:20920666, ECO:0000269|PubMed:23658386, ECO:0000269|PubMed:26573920}. Note=The disease is caused by variants affecting the gene represented in this entry. SPTLC2 disease mutations cause a shift in the substrate specificity of SPT resulting in the alternative use of L-alanine and L-glycine over its canonical substrate L-serine. This leads to the production of 1-deoxysphingolipids that cannot be correctly metabolized (PubMed:23658386). {ECO:0000269|PubMed:23658386, ECO:0000269|PubMed:26573920}.",Alzheimer
